audit_record_id,block_key,status,reviewed_slot_count,reviewed_slot_scope,route_1_relevance,route_2_relevance,route_relation,route_1_plausibility,route_2_plausibility,distinguishability,complementarity_or_subsumption,equipoise,usable_slot_count,human_notes
e0b33298a4e3ab98f7229c63,03d24e1f3f0d2e26d3310901,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
6542fdf95dbb0967ccd43741,0b45eca86417b0828be5ee61,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
0646aca5f0b6d7958c92e620,0c6669318c4b2016c0db9d95,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
5d04ac3cb7139239b629ae86,14fd07d3eba29a1569a38a44,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
9168a5db3a69a381a70c7fd8,254f17109e7eaeb5bb6043da,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
190fc3795059342c3e52cb55,2d5366323b2629e2f0a6863c,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
ff32a7ebe938395d49c4b75a,3028da58e4e7fb9b0bf4d280,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
afb43aa75d5319aefb9ad230,345b55b6ef513c049c91d1e1,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
95b4efe767c73d008d4d03ab,462fb658f17ec65a917d8229,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
cd4f66956637c913191d7ba3,4844eeb62260f97d3459e381,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
843e5c5bba86e19a406554b9,4a6abaeabde5087f27e323b6,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
6a453b5f8e8ad9e6eb6a2f46,55b7ed5ebdb443a7ab940634,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
60b8af14e699de4babf00bd5,57f5a3ea670a3390e016b66d,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
5a6058a77e8d8241590cecf5,5fbdb61b1a7e2f30e96d55fa,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
2c79e42fe6e5aec205db259c,609d999b30a95d0e489c04cc,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
43b504fa3e7a0a42725b9f8f,63a1fe69f0bda694366d8d96,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
4acebb5a7f8a5e1d9ba61bc5,830a0ac7e58337d5e7378f46,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
1574058241fdb475f0a1ab70,84a8473c90b77af4eb64cc4d,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
b62d8466be54dad4840fb7f3,983a02092febcba7bfdbd2a2,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
a743f245263f53df47a5e4bf,aa4cc4ce24ed05e3d8ccff94,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
a896d22d87c67ce4560f31b6,bda17dd5675f437de73b5a12,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
1f5516da6e6052a763403666,ee2996e9bd6d12507b2a7aa6,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
1068b63d2bbb38fc6a3f6bb7,f362ba379cce557f3755d6e8,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
634e16e854a98142dbf92b2a,fde622687185c7decf5178ca,PENDING_HUMAN_REVIEW,4,exactly the four displayed matched slots; no k=8/k=12 certification,,,,,,,,,,
