shadow_record_id,shadow_status,status,human_false_exclusion_audit,human_notes
1a73a6f93469b6e4c649e155,MEASURED_ZERO,PENDING_HUMAN_REVIEW,,
d5ecf28efb1307d4fbb38325,MEASURED_ZERO,PENDING_HUMAN_REVIEW,,
8de7d8e55f32e6b99cfc86d0,MEASURED_ZERO,PENDING_HUMAN_REVIEW,,
7e1ba4d81de5a767fb89a80c,MEASURED_ZERO,PENDING_HUMAN_REVIEW,,
4b06447b3859aecf39ca07f5,MEASURED_ZERO,PENDING_HUMAN_REVIEW,,
174131a0dc0d83b05ca8c4b7,MEASURED_ZERO,PENDING_HUMAN_REVIEW,,
30e244fc4d202b4705dd5e90,BLOCKED_SOURCE_GATE,PENDING_HUMAN_REVIEW,,
5469bdc00ed43b17b89aca34,BLOCKED_SOURCE_GATE,PENDING_HUMAN_REVIEW,,
ee15ebe8e1eee62a58641833,BLOCKED_SOURCE_GATE,PENDING_HUMAN_REVIEW,,
4bbbf1affee0a1f88f790985,BLOCKED_SOURCE_GATE,PENDING_HUMAN_REVIEW,,
c52e61403f0b278babe6b05c,BLOCKED_SOURCE_GATE,PENDING_HUMAN_REVIEW,,
6090a38bb10d1d2da998fd68,BLOCKED_SOURCE_GATE,PENDING_HUMAN_REVIEW,,
