audit_record_id,review_paper_id,status,seed_specific_relevance,primary_contribution_route,secondary_contribution_route,supporting_source_span,confidence,notes
6571f4ed6091824b12e641ae,d442f327e43070b3f532334b,PENDING_HUMAN_REVIEW,,,,,,
e4e48223468f2e3d6686b1ee,7ed4b13ed1b5872862278103,PENDING_HUMAN_REVIEW,,,,,,
2fcb45e46db180a936fc929f,244e91aae26d0f4ffaf26f50,PENDING_HUMAN_REVIEW,,,,,,
f0f52ad5b1f5fa1202283ffd,6d040200dd1138fadc0b6e5f,PENDING_HUMAN_REVIEW,,,,,,
d8a4f6184b3ffc30e5fac339,0338a309290dd25075b5dbcc,PENDING_HUMAN_REVIEW,,,,,,
88b7aff98b2e856536f614ca,760c0876cd8a2d64c1fd1051,PENDING_HUMAN_REVIEW,,,,,,
f634f50602d6eda1ed9b5c06,0610c3474e8356efcf5e1933,PENDING_HUMAN_REVIEW,,,,,,
1bf04e54602f1f47b9876e08,11b75fb3697d5d094b852321,PENDING_HUMAN_REVIEW,,,,,,
98f29f6c56e9faf4d7480749,142a6ce6e5c2b1174d40bd37,PENDING_HUMAN_REVIEW,,,,,,
ba8196200235759818651903,09c67259416ca33eb6bee2bc,PENDING_HUMAN_REVIEW,,,,,,
a41c8bbfe776d0fb134abcda,bd11a390ca85ab99a6640903,PENDING_HUMAN_REVIEW,,,,,,
02263614bb9eba397710e628,1d1b8ce05da3821ce22b834f,PENDING_HUMAN_REVIEW,,,,,,
63d3ca440afb2df1e203bdda,d74847f7028540b3e09c7d7d,PENDING_HUMAN_REVIEW,,,,,,
d93b27a2bb9d2f03c7611d0e,4fc4291f0f8f792544ec80df,PENDING_HUMAN_REVIEW,,,,,,
e7a53565f1bb0067d37d36d0,455a474aba078a3dcbe7cbc4,PENDING_HUMAN_REVIEW,,,,,,
65da55b10fc7d90223de2469,7614aa687b9a4baef3170c78,PENDING_HUMAN_REVIEW,,,,,,
dad7d01a08cc31f6a0325960,e4926c9f0e607ba8f234805b,PENDING_HUMAN_REVIEW,,,,,,
d032ca895ab6f642daea50f7,5b24c682ce2e4685c388e44e,PENDING_HUMAN_REVIEW,,,,,,
13fa66a36c77ba906b1a8861,eb2a703da2d269860d79f8eb,PENDING_HUMAN_REVIEW,,,,,,
6b38c177bd64a1e889c50707,f64787037d14efb1e3838d03,PENDING_HUMAN_REVIEW,,,,,,
4b4f3f28f341d5288a59c62b,816fe40edfd48b7148d0ccb0,PENDING_HUMAN_REVIEW,,,,,,
3a4acc46dfcdec040b502986,24d086606b3100e196533458,PENDING_HUMAN_REVIEW,,,,,,
a4f3f645c5882b108599ae7f,e7f44f34e42cb87c49f9a967,PENDING_HUMAN_REVIEW,,,,,,
7b1b5592f85a8daa228590a0,a1aa8412f948ee40cfcdb68a,PENDING_HUMAN_REVIEW,,,,,,
78879364a4762ba888433add,ca15d8fe03789963f1ada5b7,PENDING_HUMAN_REVIEW,,,,,,
b569bb999e653c26cb0ca1a1,8882bf6f96ed06ccbc9a8a5e,PENDING_HUMAN_REVIEW,,,,,,
01d5543d2e09cce52f389d5e,225d40fda40f45ecac8a60b7,PENDING_HUMAN_REVIEW,,,,,,
7abc0b5a45bca9235e533db5,877e946338c4ab3ce83ce91e,PENDING_HUMAN_REVIEW,,,,,,
81554df87168c5926ba05c62,7db2ab7699d0d8aaf54efdcc,PENDING_HUMAN_REVIEW,,,,,,
